id,label_0,label_0_prob,label_1,label_1_prob,label_2,label_2_prob
69,9,0.99468637,2,0.00075617956,5,0.0006407693
70,9,0.31567284,5,0.21222124,18,0.2049447
71,9,0.99247885,2,0.0011465572,1,0.0010288459
72,1,0.92110395,8,0.025033234,14,0.014116058
73,9,0.99115235,13,0.0018380552,5,0.0017200302
74,9,0.9940625,2,0.00088792545,12,0.00077910564
75,9,0.9947162,2,0.0007808555,5,0.0006632295
76,9,0.9945814,2,0.0011074103,5,0.00050149334
77,9,0.9838292,12,0.007128279,2,0.002274132
78,9,0.99481416,2,0.000721431,5,0.0005276501
79,9,0.99530774,2,0.00069624855,5,0.00045049234
80,9,0.9950948,2,0.0007182705,12,0.0004964333
81,9,0.9605166,20,0.0117750615,6,0.0064446004
82,9,0.99482816,2,0.000743085,12,0.0005392516
83,9,0.99508214,2,0.0007356511,13,0.0005225874
84,9,0.99537045,2,0.0006927367,13,0.00048034373
85,19,0.9837711,9,0.008513171,16,0.0012887364
86,12,0.9926749,2,0.001795511,9,0.0013624328
87,12,0.995745,2,0.0010080673,1,0.0004860409
88,12,0.9296415,17,0.03749942,2,0.012314068
89,12,0.9959745,2,0.0007069568,1,0.0003660735
90,9,0.51959306,12,0.43528017,2,0.0189525
91,12,0.9958144,2,0.0009344498,13,0.0004462783
92,16,0.99065673,19,0.0036216297,12,0.0020113853
93,16,0.7773101,19,0.20971946,12,0.0013550891
94,16,0.98324466,19,0.012232838,20,0.000507364
95,19,0.6921001,16,0.29331774,20,0.0022011755
96,16,0.9963973,19,0.001049931,1,0.00032515128
97,16,0.9969433,19,0.00078945217,1,0.00024320038
98,16,0.99671555,19,0.000880158,13,0.0002853404
99,16,0.9962035,19,0.0009128421,12,0.00035177593
100,10,0.9971578,7,0.00047839884,1,0.0003316035
101,10,0.9967339,7,0.00056278927,20,0.00043794347
102,10,0.99692506,7,0.0005959321,20,0.0003564169
103,10,0.9973417,7,0.00041819524,20,0.00030909773
104,10,0.9971873,7,0.00052760454,1,0.00025815438
105,10,0.9970079,7,0.0004970273,1,0.0004210674
106,10,0.9966305,15,0.0005037835,7,0.00046552875
107,10,0.9970591,7,0.0004972674,1,0.00033001986
108,10,0.9974753,20,0.00040724318,1,0.00029369644
109,4,0.9914262,7,0.0025225913,14,0.00061826536
110,4,0.99166554,7,0.0019507359,15,0.00097627944
111,4,0.9895754,7,0.004076964,14,0.0008016435
112,4,0.98807275,7,0.0027946776,19,0.0019261219
113,4,0.84620184,7,0.1266839,15,0.0038279067
114,4,0.99060774,7,0.0022618508,19,0.00088825356
115,14,0.9550187,4,0.02242235,7,0.0076273726
116,7,0.98241675,21,0.0064258943,4,0.001747399
117,4,0.82573104,7,0.15125774,15,0.0031570191
118,7,0.9965497,1,0.00078189163,19,0.00028989205
